135.0 0.0 35.0
0.0 0.0 0.0 1.000
0.0 -0.2 8.7 0.850
0.0 -5.8 10.1 0.850
0.0 -14.2 17.2 0.850
0.0 -5.4 20.6 0.700
0.0 -12.0 31.2 0.700
0.0 -12.3 26.2 0.231
0.0 -3.5 37.3 0.700
0.0 -6.7 32.3 0.541
0.0 -0.1 25.1 0.517
0.0 3.6 31.7 0.309
0.0 -2.2 42.0 0.233
0.0 6.3 38.8 0.850
0.0 4.5 43.3 0.850
0.0 13.2 46.4 0.850
0.0 8.5 51.2 0.522
0.0 13.0 64.6 0.434
0.0 5.9 62.6 0.700
0.0 9.1 76.0 0.495
0.0 3.6 74.7 0.700
0.0 7.1 86.6 0.700
0.0 3.9 86.1 0.700
0.0 0.0 98.0 1.000
0.0 1.5 86.4 0.700
0.0 -4.6 85.9 0.700
0.0 -4.1 73.2 0.050
0.0 -2.5 69.2 0.843
0.0 -6.0 61.3 0.850
0.0 1.4 58.4 0.598
0.0 -7.4 51.5 0.536
0.0 -15.3 47.6 0.700
0.0 2.9 49.4 0.140
0.0 -16.4 51.1 0.700
0.0 -9.5 53.4 0.700
0.0 -8.0 39.7 0.700
0.0 2.3 43.3 0.809
0.0 4.7 34.6 0.850
0.0 11.0 39.3 0.700
0.0 2.1 53.6 0.082
0.0 15.6 48.0 0.485
0.0 11.7 58.1 0.589
0.0 1.3 54.1 0.850
0.0 0.5 52.0 0.850
0.0 -10.3 53.1 0.700
0.0 -4.4 63.9 0.193
0.0 -14.2 59.8 0.850
0.0 -6.3 60.0 0.850
0.0 -2.9 51.3 0.850
0.0 -13.7 47.9 0.160
0.0 -1.3 45.7 0.600
