95.0 -85.0 35.0
-0.0 -0.0 -0.0 1.000
1.5 1.6 8.9 0.825
-3.3 -3.7 13.1 0.534
-7.5 -8.4 16.6 0.850
-3.5 -4.0 19.8 0.850
-5.0 -5.6 30.8 0.850
-9.2 -10.3 29.9 0.700
-4.5 -5.0 41.6 0.200
-10.9 -12.2 31.5 0.700
-4.5 -5.0 26.7 0.850
-6.3 -7.1 31.9 0.527
-5.3 -6.0 43.9 0.626
-3.3 -3.7 41.0 0.527
1.6 1.8 40.4 0.850
3.9 4.3 44.9 0.539
7.2 8.0 48.4 0.700
7.8 8.7 61.2 0.407
5.2 5.9 61.0 0.686
8.8 9.8 72.7 0.434
0.4 0.5 71.9 0.700
5.1 5.7 83.0 0.700
-0.3 -0.3 84.7 0.600
0.0 -0.0 98.0 1.000
-0.3 -0.3 85.7 0.583
-0.8 -0.9 85.5 0.575
-3.8 -4.3 73.0 0.700
0.2 0.2 66.5 0.850
-5.8 -6.5 61.5 0.850
1.3 1.4 57.3 0.257
-8.7 -9.7 51.6 0.174
-8.7 -9.7 48.3 0.700
5.3 5.9 50.8 0.157
-5.1 -5.7 50.8 0.700
4.1 4.6 50.3 0.700
2.1 2.4 39.1 0.700
10.3 11.5 39.4 0.700
7.7 8.6 33.9 0.850
14.0 15.7 38.3 0.600
8.0 9.0 51.0 0.575
13.3 14.8 44.5 0.700
7.0 7.9 53.6 0.700
8.2 9.2 51.5 0.850
1.3 1.4 55.0 0.606
-3.0 -3.4 53.5 0.850
-3.1 -3.5 63.8 0.622
-8.4 -9.4 61.1 0.850
-8.9 -10.0 59.8 0.850
-6.1 -6.8 51.3 0.558
-10.2 -11.4 49.9 0.850
-6.9 -7.7 43.9 0.700
