-63.0 -133.0 40.0
0.0 0.0 -0.0 1.000
3.8 -1.8 7.3 0.561
-0.8 0.4 9.6 0.773
4.6 -2.2 16.9 0.675
-1.0 0.5 15.2 0.700
7.1 -3.4 29.0 0.700
-1.3 0.6 30.1 0.700
-6.1 2.9 42.2 0.700
-11.5 5.4 31.5 0.700
-7.4 3.5 26.2 0.700
-16.8 8.0 31.8 0.700
-7.9 3.7 40.3 0.700
-14.8 7.0 42.0 0.700
-4.1 1.9 42.8 0.700
-9.4 4.5 46.2 0.077
4.3 -2.0 46.2 0.350
0.0 0.0 58.6 0.058
4.6 -2.2 56.6 0.410
-5.1 2.4 71.2 0.700
-0.8 0.4 73.2 0.843
1.0 -0.5 80.8 0.850
-4.1 1.9 86.5 0.700
0.0 0.0 98.0 1.000
-2.0 1.0 85.9 0.700
3.8 -1.8 82.2 0.850
-2.5 1.2 75.2 0.700
3.1 -1.4 65.1 0.700
-2.5 1.2 63.6 0.850
2.5 -1.2 55.5 0.850
-6.6 3.1 52.7 0.200
6.6 -3.1 48.2 0.700
5.1 -2.4 49.8 0.850
12.7 -6.0 49.3 0.850
15.5 -7.4 47.0 0.850
12.2 -5.8 38.3 0.850
14.5 -6.9 38.6 0.850
7.6 -3.6 33.5 0.850
11.7 -5.5 36.6 0.700
10.7 -5.1 49.0 0.700
3.8 -1.8 44.5 0.717
3.6 -1.7 49.6 0.850
11.2 -5.3 48.7 0.850
3.3 -1.6 50.1 0.850
8.7 -4.1 51.3 0.700
-5.1 2.4 64.5 0.110
4.6 -2.2 60.5 0.700
-6.9 3.3 63.1 0.700
-7.1 3.4 53.5 0.843
-3.8 1.8 50.4 0.850
-8.1 3.9 49.8 0.275
